Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/01/2023
TIME       : 08:50:20
FILENAME   : C:\Users\getac\AppData\Roaming\DiverOffice\Rhone_Arve_04012022\CSV\dk182_230105085019_DK182.CSV
CREATED BY : Diver-Office 9.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
                          =0
  Location                =dk182
  Sample period           =S01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
  Location                =dk182
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:11 04/01/23
  End date / time         =59:29:07 05/01/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pression[cm];Température[°C]
2023/01/04 11:33:53;1006.925;15.300
2023/01/04 11:33:54;1007.017;15.300
2023/01/04 11:33:55;1007.017;15.277
2023/01/04 11:33:56;1007.017;15.293
2023/01/04 11:33:57;1007.200;15.270
2023/01/04 11:33:58;1007.200;15.287
2023/01/04 11:33:59;1007.017;15.293
2023/01/04 11:34:00;1007.017;15.287
2023/01/04 11:34:01;1007.200;15.277
2023/01/04 11:34:02;1007.292;15.277
2023/01/04 11:34:03;1007.292;15.270
2023/01/04 11:34:04;1007.017;15.270
2023/01/04 11:34:05;1007.200;15.277
2023/01/04 11:34:06;1007.475;15.247
2023/01/04 11:34:07;1007.200;15.263
2023/01/04 11:34:08;1007.475;15.270
2023/01/04 11:34:09;1007.017;15.263
2023/01/04 11:34:10;1007.017;15.270
2023/01/04 11:34:11;1007.292;15.253
2023/01/04 11:34:12;1007.200;15.263
2023/01/04 11:34:13;1007.200;15.247
2023/01/04 11:34:14;1007.017;15.247
2023/01/04 11:34:15;1007.017;15.247
2023/01/04 11:34:16;1007.017;15.240
2023/01/04 11:34:17;1007.200;15.240
2023/01/04 11:34:18;1007.017;15.230
2023/01/04 11:34:19;1007.292;15.230
2023/01/04 11:34:20;1007.017;15.213
2023/01/04 11:34:21;1007.017;15.240
2023/01/04 11:34:22;1006.925;15.230
2023/01/04 11:34:23;1007.017;15.207
2023/01/04 11:34:24;1007.017;15.213
2023/01/04 11:34:25;1007.200;15.213
2023/01/04 11:34:26;1007.200;15.213
2023/01/04 11:34:27;1007.200;15.223
2023/01/04 11:34:28;1006.742;15.213
2023/01/04 11:34:29;1006.650;15.207
2023/01/04 11:34:30;1007.200;15.207
2023/01/04 11:34:31;1006.925;15.200
2023/01/04 11:34:32;1007.017;15.190
2023/01/04 11:34:33;1006.925;15.200
2023/01/04 11:34:34;1006.742;15.207
2023/01/04 11:34:35;1006.925;15.190
2023/01/04 11:34:36;1006.742;15.190
2023/01/04 11:34:37;1006.650;15.200
2023/01/04 11:34:38;1006.925;15.190
2023/01/04 11:34:39;1007.017;15.183
2023/01/04 11:34:40;1007.200;15.177
2023/01/04 11:34:41;1006.925;15.177
2023/01/04 11:34:42;1007.017;15.177
2023/01/04 11:34:43;1006.742;15.177
2023/01/04 11:34:44;1007.017;15.177
2023/01/04 11:34:45;1006.925;15.160
2023/01/04 11:34:46;1006.925;15.167
2023/01/04 11:34:47;1006.650;15.167
2023/01/04 11:34:48;1007.200;15.160
2023/01/04 11:34:49;1006.742;15.160
2023/01/04 11:34:50;1006.925;15.153
